id	year	month	day	hour	minute	sex	age	handedness	message_viewing_time	block	trial_num	trial_initiation_time	fixation_duration	cue_location	cue_modality	target_location	target_modality	target_type	target_response_key	target_response_rt	pre_target_response	feedback_response	recalibration	blink	saccade	biggest_small_saccade	critical_blink	critical_saccade	target_started_TF
foralex	2015	07	09	15	33	m	21	r	8.054785745	practice	28	4.49099752586e-06	0.769440765157	right	visual	right	tactile	target	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
foralex	2015	07	09	15	33	m	21	r	8.054785745	practice	29	5.56500162929e-06	1.04846002853	left	tactile	right	tactile	target	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
foralex	2015	07	09	15	33	m	21	r	8.054785745	practice	30	6.49399589747e-06	1.29865858169	left	visual	right	visual	target	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
foralex	2015	07	09	15	33	m	21	r	8.054785745	practice	31	1.49429979501e-05	1.03867593237	right	visual	right	visual	target	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
foralex	2015	07	09	15	33	m	21	r	8.054785745	practice	32	3.84100712836e-06	1.17458739811	left	tactile	left	visual	target	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
foralex	2015	07	09	15	33	m	21	r	8.054785745	practice	33	5.37099549547e-06	0.795254628818	left	tactile	left	visual	target	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
foralex	2015	07	09	15	33	m	21	r	8.054785745	practice	34	3.88199987356e-06	1.03084774008	right	tactile	left	tactile	target	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
foralex	2015	07	09	15	33	m	21	r	8.054785745	practice	35	5.52600249648e-06	1.15054096248	right	visual	right	visual	target	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
foralex	2015	07	09	15	33	m	21	r	8.054785745	practice	36	5.92099968344e-06	0.881997516971	right	visual	left	visual	target	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
foralex	2015	07	09	15	33	m	21	r	8.054785745	practice	37	3.5429984564e-06	0.770034500851	right	tactile	left	visual	target	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
foralex	2015	07	09	15	33	m	21	r	8.054785745	practice	38	5.90800482314e-06	0.625408962051	left	visual	left	tactile	target	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
foralex	2015	07	09	15	33	m	21	r	8.054785745	practice	39	4.45199839305e-06	1.12562526791	left	tactile	right	visual	target	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
foralex	2015	07	09	15	33	m	21	r	8.054785745	practice	40	3.38199606631e-06	0.589402701444	left	visual	left	tactile	target	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
