id	year	month	day	hour	minute	sex	age	handedness	message_viewing_time	block	trial_num	trial_initiation_time	fixation_duration	cue_modality	cue_location	target_location	target_modality	target_response_key	target_response_rt	pre_target_response	feedback_response	recalibration	blink	saccade	biggest_small_saccade	critical_blink	critical_saccade
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	30	6.87819770299	1.21795552916	tactile	left	right	visual	NA	604.199385503	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	31	2.30567881902	0.987274361413	tactile	left	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	32	0.791995409993	1.23222359272	visual	left	right	visual	NA	617.510942975	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	33	17.055602137	1.1500415702	tactile	left	right	visual	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	34	1.48799009499	1.37080310278	visual	left	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	35	1.34886250703	1.44256632216	visual	right	left	visual	NA	827.566141495	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	36	1.16335456201	0.61935285266	tactile	right	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	37	0.644027485978	1.10282358697	tactile	right	left	tactile	NA	577.762105735	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	38	1.46893810801	1.16506112005	tactile	left	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	39	2.205120589	0.683227875434	tactile	right	right	tactile	NA	698.785991175	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	264.289266876	practice	40	1.31046576798	0.682286361929	visual	right	left	visual	NA	561.898198735	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	41	3.04673493101	1.45300245171	tactile	left	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	42	1.02252390701	0.844304507681	tactile	left	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	43	0.923399168998	0.605998166958	visual	right	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	44	1.07319258299	1.03334719413	tactile	right	right	visual	NA	579.132846498	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	45	1.12859005702	0.913744331612	visual	left	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	46	1.24502516398	1.17810590805	visual	right	right	visual	NA	739.022717578	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	47	1.16418871703	1.22463951426	visual	left	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	48	0.782676748	1.25599141012	tactile	left	left	tactile	NA	608.128597552	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	49	0.857877315022	0.721343954943	tactile	right	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	50	1.28645060799	1.09335338958	tactile	right	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
