id	year	month	day	hour	minute	sex	age	handedness	message_viewing_time	block	trial_num	trial_initiation_time	fixation_duration	cue_modality	cue_location	target_location	target_modality	target_response_key	target_response_rt	pre_target_response	feedback_response	recalibration	blink	saccade	biggest_small_saccade	critical_blink	critical_saccade
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	1	1.56903129499	0.879018176514	visual	left	left	tactile	NA	251.239957142	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	2	2.30253601601	0.706678041242	visual	left	left	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	3	1.306499308	0.765888460641	visual	left	right	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	4	1.510955434	1.39227815653	visual	left	left	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	5	1.04739544701	0.615832421352	visual	left	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	6	1.21465607701	1.37742427522	visual	right	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	7	0.871042888	1.07844673513	tactile	left	right	tactile	NA	288.009140524	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	8	0.512180724007	0.778999735643	visual	left	left	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	9	0.948773487005	1.15763443629	tactile	left	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	10	0.79887973002	1.35564835887	visual	left	left	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	11	0.976755131996	1.33307597552	tactile	left	right	visual	NA	344.219200138	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	12	0.422835627978	0.544120166837	visual	left	left	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	13	0.65110800101	0.966619993323	visual	left	left	tactile	NA	225.697809336	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	14	0.405809791002	0.687775129842	tactile	right	right	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	15	1.16766420202	0.512411922692	visual	right	right	visual	NA	417.052493984	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	16	0.410039574024	0.665848979988	tactile	left	catch	tactile	NA	333.186873671	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	17	0.562458208995	1.32832655125	visual	right	left	visual	NA	307.650083414	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	18	0.415566160984	0.854732614833	visual	right	left	visual	NA	258.797610848	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	19	1.155388196	0.733573940366	tactile	right	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	20	0.410378731991	0.807707573364	tactile	right	right	visual	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	21	1.25930042699	1.27113330855	visual	left	left	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE
p02	2015	06	24	14	55	m	21	r	10.140511372	practice	22	1.13008985299	1.3244513073	visual	left	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE
