id	year	month	day	hour	minute	sex	age	handedness	message_viewing_time	block	trial_num	trial_initiation_time	fixation_duration	cue_modality	cue_location	target_location	target_modality	target_response_key	target_response_rt	pre_target_response	feedback_response	recalibration	blink	saccade	biggest_small_saccade
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	1	1.77628043597	1.00125788278	visual	left	left	tactile	NA	450.954249944	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	2	1.83704125008	1.14838542725	tactile	right	left	tactile	NA	314.005067456	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	3	0.829711400904	0.988963607447	visual	right	left	visual	NA	361.749222269	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	4	0.773171668989	0.564350206113	visual	right	right	tactile	NA	402.128172573	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	5	0.68863048905	1.26466390406	tactile	right	right	visual	NA	492.904345621	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	6	0.681696646032	1.49105432536	visual	right	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	7	1.25298295496	1.23868228503	visual	left	left	tactile	NA	389.332575724	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	8	0.60378365498	1.14536355955	visual	left	right	visual	NA	430.944159045	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	9	0.620850702049	0.786974105338	visual	left	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	10	1.04029047897	1.3634582565	tactile	left	right	visual	NA	524.035208276	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	11	0.658422949025	1.25157323792	visual	left	left	visual	NA	453.864197829	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	12	0.632164270035	0.687779802349	visual	right	left	visual	NA	467.755666352	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	13	0.781126537011	1.27147605352	visual	left	right	tactile	NA	298.858127207	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	14	0.731843205984	1.3845630921	tactile	left	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	15	1.48206082603	0.659578272039	visual	left	right	visual	NA	380.227378686	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	16	0.734610394924	0.607608781956	tactile	right	right	visual	NA	484.463444678	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	17	0.847290672013	1.00379970005	tactile	right	right	tactile	NA	411.431716755	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	18	0.74502934597	0.946080028865	tactile	left	left	visual	NA	509.511542739	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	19	0.746887816	0.570701370567	tactile	left	left	visual	NA	443.434802117	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	20	1.22535776102	0.916083418581	visual	left	left	tactile	NA	399.904325139	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	21	0.739112332929	0.507029317026	visual	left	left	tactile	NA	392.427226761	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	22	0.976830436965	0.994217804959	visual	right	left	tactile	NA	318.374227732	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	23	0.900385175017	1.4934970688	tactile	right	right	visual	NA	576.372647891	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	24	0.819808496977	0.723195638902	tactile	left	left	tactile	NA	413.234300911	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	25	0.888195368927	1.43628589005	tactile	right	right	tactile	NA	310.421703616	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	26	0.823102046037	1.02449653332	visual	right	right	tactile	NA	404.096654383	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	27	0.872539672069	0.746060829919	visual	right	right	visual	NA	404.951226781	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	28	1.20994896896	0.868573238581	tactile	left	left	tactile	NA	325.44162008	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	29	0.739564121002	0.530433898873	tactile	left	left	visual	NA	368.629880832	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	30	0.913693484967	0.551487206285	visual	right	right	tactile	NA	397.362744436	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	31	0.863285091007	1.24858456454	visual	left	left	visual	NA	411.364812171	FALSE	FALSE	FALSE	TRUE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	32	0.677723351982	1.42424812709	tactile	left	right	tactile	NA	348.891073721	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	33	0.667323046015	1.36784176458	visual	left	left	visual	NA	315.20901015	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	34	3.20830595598	0.880702957066	tactile	right	right	visual	NA	383.232767694	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	35	1.09556239995	1.38263258137	tactile	right	right	tactile	voice	NA	TRUE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	36	6.16567519505	0.936602287504	tactile	left	left	tactile	NA	371.874783305	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	37	1.33885724493	0.770427840759	visual	right	left	tactile	NA	309.030894889	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	38	0.891597422073	1.35298492077	tactile	left	right	visual	NA	427.227907931	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	39	0.915904929978	1.00619696747	visual	left	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	5.07849113899	2	40	1.19238828903	1.31380232248	visual	left	left	tactile	NA	355.505224201	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	41	5.984365021	0.71306834247	tactile	left	left	tactile	NA	368.27245832	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	42	0.877118026023	1.03526972055	visual	left	right	tactile	NA	268.732546014	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	43	0.816804515081	1.19679174207	visual	right	right	visual	NA	491.072784644	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	44	0.886538797058	0.521454861161	tactile	right	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	45	3.08953083702	0.807358080632	tactile	right	right	visual	NA	418.653072091	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	46	1.15697298804	0.843164149425	visual	left	right	visual	NA	431.156999315	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	47	1.14295375696	1.32988665067	visual	left	catch	tactile	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	48	1.9814420921	1.12161801293	visual	left	left	tactile	NA	384.976312751	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	49	0.770643117954	1.44074180239	tactile	left	right	tactile	NA	297.463635448	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	50	0.871764140902	1.23925864226	visual	left	right	tactile	NA	307.271575439	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	51	0.900505542057	0.531545965609	visual	right	catch	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	52	1.29126216099	1.32895653647	visual	left	left	tactile	NA	333.113624249	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	53	2.71758204408	1.3826564903	tactile	left	left	visual	NA	397.338559385	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	54	2.577977626	1.25594576192	visual	right	left	tactile	NA	291.956796777	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	55	3.37978509895	1.0118949769	visual	right	left	tactile	NA	369.374277769	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	56	1.04031281709	0.628636179815	tactile	right	right	tactile	NA	349.784516962	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	57	0.987295615021	1.17817032069	visual	right	left	visual	NA	321.953773964	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	58	0.795898807002	1.07261378149	visual	left	right	visual	NA	386.609589215	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	59	0.708880578983	0.658938970833	tactile	left	left	tactile	NA	495.94735587	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	60	0.732563425088	0.623334996749	visual	right	right	visual	NA	438.034574036	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	61	1.363119505	0.542556024132	visual	left	left	visual	NA	348.687294521	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	62	1.10583876504	1.37551625554	visual	left	right	tactile	NA	255.972248153	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	63	0.764893986983	0.590974501494	tactile	right	left	visual	NA	388.175903237	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	64	0.800952271093	0.817115952072	visual	left	right	visual	NA	493.541628704	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	65	1.08075643505	1.20320705249	tactile	left	right	visual	NA	413.767538383	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	66	0.996041862993	0.689178578879	tactile	right	right	visual	NA	397.733570775	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	67	1.00810313202	0.865878756632	tactile	right	catch	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	68	1.8968619291	1.0936025597	tactile	right	left	visual	NA	355.700271088	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	69	7.88478072407	0.54288045528	visual	right	left	visual	NA	469.196304446	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	70	9.34305806702	1.43614042903	visual	right	left	visual	NA	323.057035683	FALSE	FALSE	FALSE	FALSE	TRUE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	71	1.25740546803	1.02085160801	tactile	right	left	tactile	NA	381.845130702	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	72	64.223936671	0.868606891548	tactile	left	right	tactile	NA	309.421737096	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	73	3.44086982904	1.2283896424	tactile	left	right	visual	NA	362.067668233	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	74	2.79264076194	0.758498914956	tactile	right	catch	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	75	1.28483757598	1.37873354332	tactile	left	left	visual	NA	461.213515373	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	76	0.825880620978	0.792113219298	tactile	left	catch	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	77	3.20067990897	0.589646465062	tactile	left	right	tactile	NA	395.062999683	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	78	0.657238997985	1.2527302628	visual	right	right	tactile	NA	312.996734865	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	79	20.641027582	0.588846646527	tactile	right	right	tactile	NA	519.171538297	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	36.5714930301	2	80	1.21731650305	1.26918532307	tactile	right	left	tactile	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	14.455659657	2	81	4.52081112296	0.750493449436	visual	left	left	tactile	NA	345.950052259	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	14.455659657	2	82	0.873760558083	1.11885637211	tactile	right	left	visual	NA	356.655232608	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	14.455659657	2	83	0.942181181046	1.19293207972	visual	left	right	visual	voice	NA	TRUE	FALSE	FALSE	TRUE	TRUE	0
p07	2015	06	12	13	54	m	24	r	14.455659657	2	84	2.06189107092	0.956644758043	visual	right	left	tactile	NA	351.823658682	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	14.455659657	2	85	4.060846259	1.21143451449	tactile	left	right	tactile	NA	357.573274174	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	14.455659657	2	86	1.04232874	1.25445755927	tactile	right	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0
p07	2015	06	12	13	54	m	24	r	14.455659657	2	87	1.472117153	1.08274183021	tactile	right	left	visual	NA	358.593952493	FALSE	FALSE	FALSE	FALSE	FALSE	0
