id	year	month	day	hour	minute	sex	age	handedness	message_viewing_time	block	trial_num	trial_initiation_time	fixation_duration	cue_modality	cue_location	target_location	target_modality	target_response_key	target_response_rt	pre_target_response	feedback_response	recalibration	blink	saccade	biggest_small_saccade
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	1	12.165469307	1.35839571774	tactile	right	right	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	2	2.53421071102	1.02440680622	tactile	left	catch	tactile	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	3	9.54455257603	1.17551061618	tactile	left	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	4	8.39361416013	0.991868991575	tactile	left	left	tactile	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	5	2.77941742004	1.20032967492	tactile	left	right	tactile	NA	NA	FALSE	FALSE	FALSE	TRUE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	6	3.96528237499	1.40030637194	visual	right	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	7	1.47064636508	1.30845147698	visual	right	right	tactile	NA	448.731080629	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	8	1.79158451897	1.25887047802	visual	left	right	tactile	NA	288.990522502	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	9	4.30890054395	0.897191505334	tactile	left	left	visual	NA	414.087798214	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	10	2.16717692604	0.76468458418	tactile	left	left	visual	NA	348.651124397	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	11	1.72045920882	1.10664565437	tactile	right	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	12	6.36461503198	1.17533238809	visual	right	left	visual	NA	655.452642357	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	13	4.4095460102	0.873246606422	visual	right	left	visual	NA	352.685959078	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	14	22.7717464662	0.902171855114	visual	right	left	tactile	NA	345.022996422	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	15	1.45309859421	1.12836629702	visual	left	left	tactile	NA	305.325313704	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	16	3.58181652613	1.20516339253	visual	right	right	visual	NA	445.06452512	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	17	2.32577836397	1.32810656306	tactile	right	right	tactile	NA	383.024674607	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	18	1.38192686881	1.15531708436	tactile	left	right	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	19	10.9122535191	0.907186785945	tactile	right	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	20	1.94536905782	0.513792420066	visual	left	right	visual	NA	528.000120539	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	21	1.80780481105	0.926788969406	tactile	right	catch	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	22	1.50613947609	0.649273204492	tactile	right	right	tactile	NA	341.2251072	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	23	1.90408981405	0.706432201347	visual	right	right	visual	NA	401.317236247	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	24	1.59895227896	0.928126725989	visual	right	left	visual	NA	305.336836493	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	25	3.30691370112	0.733771085183	tactile	left	right	tactile	NA	430.178701412	FALSE	FALSE	FALSE	FALSE	FALSE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	26	3.36930283206	1.24259255207	tactile	right	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0
p09	2015	06	17	09	18	f	18	r	445.112469926	practice	27	2.91839360306	1.46470148238	visual	left	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0
