R	1028463	1028497	36	979.6	461.2	1088.6	428.8	4.50	206
R	1028643	1028679	38	1091.4	435.1	968.9	289.1	7.53	330
R	1028893	1028913	22	951.1	287.9	907.9	279.1	1.65	101
R	1029095	1029265	172	876.8	281.9	723.5	677.2	17.18	1085
R	1029563	1029611	50	727.3	707.6	1006.8	660.1	11.33	433
R	1029775	1029811	38	1003.8	665.4	1030.6	816.3	6.96	323
R	1030077	1030127	52	1022.1	831.6	1306.7	810.1	11.63	378
R	1030341	1034987	4648	1296.1	813.5	1115.5	786.3	7.48	805
R	1035331	1035365	36	1116.2	827.3	1242.9	825.6	5.23	237
R	1035589	1037121	1534	1234.5	840.8	404.6	997.5	32.13	1004
R	1037205	1037269	66	416.1	983.7	735.1	756.0	15.68	401
R	1037451	1037497	48	713.8	761.9	933.7	696.7	9.44	363
R	1037715	1037795	82	918.2	701.2	486.5	1262.1	29.11	598
R	1038005	1060205	22202	520.7	1249.2	640.9	780.6	20.88	783
R	1060345	1060383	40	642.7	771.5	774.8	743.5	5.60	236
R	1060617	1060667	52	767.4	754.7	564.6	952.7	12.32	390
R	1060845	1060865	22	564.6	954.4	559.9	913.3	1.89	109
R	1060985	1065725	4742	552.2	904.8	999.1	838.4	18.54	746
R	1065965	1066005	42	1001.1	826.3	850.3	862.6	6.67	248
R	1066235	1066285	52	845.4	858.0	606.7	903.7	9.99	292
R	1066521	1066587	68	601.7	902.5	1071.3	838.1	19.44	502
R	1066699	1066741	44	1050.8	837.1	1271.2	837.0	9.20	375
R	1066871	1066907	38	1263.7	834.0	1403.6	820.7	5.66	250
R	1067021	1068367	1348	1402.1	829.2	1051.3	683.7	16.55	1410
R	1068571	1068629	60	1030.2	688.6	818.3	483.7	13.78	377
R	1072251	1072259	10	959.7	546.2	967.5	542.5	0.38	46
R	1078865	1078883	20	947.0	535.4	972.4	522.0	1.25	89
R	1085713	1085725	14	949.4	540.4	964.5	536.9	0.66	59
R	1086281	1086367	88	966.9	544.8	.	.	6.0e+06	1852
